,0
270492004,1st degree av block
164889003,atrial fibrillation
164890007,atrial flutter
426627000,bradycardia
713427006,complete right bundle branch block
713426002,incomplete right bundle branch block
445118002,left anterior fascicular block
39732003,left axis deviation
164909002,left bundle branch block
251146004,low qrs voltages
698252002,nonspecific intraventricular conduction disorder
10370003,pacing rhythm
284470004,premature atrial contraction
427172004,premature ventricular contractions
164947007,prolonged pr interval
111975006,prolonged qt interval
164917005,qwave abnormal
47665007,right axis deviation
59118001,right bundle branch block
427393009,sinus arrhythmia
426177001,sinus bradycardia
426783006,sinus rhythm
427084000,sinus tachycardia
63593006,supraventricular premature beats
164934002,t wave abnormal
59931005,t wave inversion
17338001,ventricular premature beats
195042002,2nd degree av block
164951009,abnormal QRS
426664006,accelerated junctional rhythm
57054005,acute myocardial infarction
413444003,acute myocardial ischemia
426434006,anterior ischemia
54329005,anterior myocardial infarction
251173003,atrial bigeminy
195080001,atrial fibrillation and flutter
195126007,atrial hypertrophy
251268003,atrial pacing pattern
713422000,atrial tachycardia
29320008,atrioventricular junctional rhythm
233917008,av block
251170000,blocked premature atrial contraction
74615001,brady tachy syndrome
6374002,bundle branch block
698247007,cardiac dysrhythmia
426749004,chronic atrial fibrillation
413844008,chronic myocardial ischemia
27885002,complete heart block
204384007,congenital incomplete atrioventricular heart block
53741008,coronary heart disease
77867006,decreased qt interval
82226007,diffuse intraventricular block
428417006,early repolarization
13640000,fusion beats
84114007,heart failure
368009,heart valve disorder
251259000,high t-voltage
49260003,idioventricular rhythm
251120003,incomplete left bundle branch block
251200008,indeterminate cardiac axis
425419005,inferior ischaemia
704997005,inferior ST segment depression
426995002,junctional escape
251164006,junctional premature complex
426648003,junctional tachycardia
425623009,lateral ischaemia
253352002,left atrial abnormality
67741000119109,left atrial enlargement
446813000,left atrial hypertrophy
445211001,left posterior fascicular block
164873001,left ventricular hypertrophy
370365005,left ventricular strain
54016002,mobitz type i wenckebach atrioventricular block
164865005,myocardial infarction
164861001,myocardial ischemia
428750005,nonspecific st t abnormality
164867002,old myocardial infarction
251182009,paired ventricular premature complexes
282825002,paroxysmal atrial fibrillation
67198005,paroxysmal supraventricular tachycardia
425856008,paroxysmal ventricular tachycardia
164921003,r wave abnormal
314208002,rapid atrial fibrillation
253339007,right atrial abnormality
446358003,right atrial hypertrophy
89792004,right ventricular hypertrophy
55930002,s t changes
49578007,shortened pr interval
65778007,sinoatrial block
60423000,sinus node dysfunction
429622005,st depression
164931005,st elevation
164930006,st interval abnormal
251168009,supraventricular bigeminy
426761007,supraventricular tachycardia
251139008,suspect arm ecg leads reversed
266257000,transient ischemic attack
164937009,u wave abnormal
11157007,ventricular bigeminy
164884008,ventricular ectopics
75532003,ventricular escape beat
81898007,ventricular escape rhythm
164896001,ventricular fibrillation
111288001,ventricular flutter
266249003,ventricular hypertrophy
251266004,ventricular pacing pattern
195060002,ventricular pre excitation
164895002,ventricular tachycardia
251180001,ventricular trigeminy
195101003,wandering atrial pacemaker
74390002,wolff parkinson white pattern
